Height(Inches);Weight(Pounds);Sex;Age
68,76347;130,2964;M;26
66,83011;120,5375;F;18
70,56089;132,0461;M;21
69,67899;140,8938;F;21
66,96319;122,3291;F;20
68,67573;115,6268;F;19
66,39372;121,1097;F;22
69,81996;125,3109;F;21
68,00995;124,8272;F;20
66,95032;118,4744;F;28
70,96239;144,0736;F;22
66,27024;126,7344;M;24
68,21726;115,0624;F;19
66,56206;112,4637;F;25
69,03964;137,6269;F;23
68,68271;131,7407;F;20
68,91258;115,3276;M;19
68,02805;123,1233;M;19
68,64452;111,4743;F;21
67,98404;120,7929;M;19
65,72168;123,0248;M;24
68,50899;125,2258;M;27
68,74484;118,5521;M;21
65,70055;121,1912;M;25
68,13231;126,9522;F;20
69,1712;102,8732;F;21
70,67886;122,3412;M;21
68,837;118,7874;F;26
69,60496;130,4536;M;18
67,41523;126,8208;M;20
71,4;154,97;F;25
69,57502;130,0883;F;20
69,04149;116,7796;F;20
68,5837;143,8448;F;26
66,89024;126,5347;M;25
67,12473;111,1866;M;23
67,83542;111,946;F;22
70,46759;138,7422;F;19
67,7864;142,7435;M;20
69,58276;143,2414;F;19
67,16684;125,1273;F;27
67,13791;108,6479;F;20
68,79915;132,8302;F;21
67,64203;127,7226;M;24
64,70508;111,3172;M;25
68,08348;133,8261;F;19
67,56671;124,2366;F;21
64,28754;102,4825;M;26
64,85395;111,9585;F;19
73,24733;138,1346;F;23
64,89302;114,3071;F;19
67,43272;133,0682;M;26
65,7765;118,0115;M;24
70,7064;145,9957;F;20
67,52445;125,9386;M;21
67,01528;116,8078;F;24
68,16565;113,8239;F;19
67,99779;149,3131;M;23
68,52996;110,5189;F;28
67,53327;120,1058;F;18
67,30047;123,1704;M;27
67,63847;134,5804;F;26
68,52047;138,8459;F;27
68,03264;127,8527;F;22
67,28722;118,5444;M;20
68,42927;127,9474;M;22
69,7329;125,5398;F;19
69,72725;127,1998;F;22
69,73079;152,3984;F;21
69,97947;137,3347;F;19
68,9122;119,5773;F;23
66,70355;122,2617;M;30
68,64652;136,3536;F;18
67,56584;136,2134;F;23
67,35146;123,6386;M;21
66,98205;107,619;M;22
65,44633;135,5837;M;21
68,81325;129,6697;M;23
67,16659;107,8736;F;27
70,28813;150,9046;M;24
66,62449;139,4685;M;21
64,39542;115,1983;M;25
67,23695;112,4262;F;22
69,67397;156,7309;M;19
68,43681;127,8894;M;20
68,00999;131,2092;F;25
70,8081;135,2499;M;23
70,50871;122,7718;F;22
70,00808;117,6198;M;19
66,06797;101,461;M;30
67,87768;116,3499;F;22
69,36261;126,9441;M;27
69,29301;139,7644;M;19
67,3539;133,1416;M;19
66,1525;110,9469;M;19
67,47153;115,3734;F;20
68,56556;121,8413;M;21
72,40237;157,4235;M;18
67,28205;128,5724;M;23
65,7493;122,6496;M;20
65,90868;132,421;F;20
67,32651;133,7645;F;20
67,04617;112,1093;F;26
67,21086;122,6801;M;23
66,49245;109,2367;F;20
69,2678;122,5007;F;19
70,07489;149,6391;M;24
69,74977;141,1522;M;22
66,75226;139,719;M;23
65,50834;114,5278;F;21
73,13491;127,8612;F;24
65,37072;125,7601;F;23
72,07311;142,2552;F;18
67,65702;120,8003;M;22
71,13971;149,4626;F;21
69,56951;138,5706;F;22
68,47465;116,2406;F;22
68,65104;135,3612;F;18
69,29567;146,4768;F;23
65,94966;131,8327;M;18
67,88775;137,3897;F;22
66,01091;107,5225;M;24
64,69531;124,1449;M;22
68,76234;111,5343;F;22
70,14278;129,6087;F;22
65,29027;126,534;F;20
67,02973;130,5432;M;21
72,18645;153,9204;M;21
68,32435;130,9603;F;27
65,37779;114,4;F;21
70,98789;126,8208;F;23
69,32981;125,881;F;18
68,08517;125,3363;M;26
67,72864;117,6713;M;23
69,41996;126,183;M;20
65,86211;112,0669;F;24
69,96526;151,6467;F;23
67,91088;124,1618;M;24
68,78786;130,6754;F;18
65,74585;119,2501;M;20
72,368;132,7354;M;19
68,18716;129,4416;F;19
69,84822;130,4897;F;24
68,77683;132,0897;F;20
69,84154;117,5002;F;18
68,21258;108,6233;M;24
66,95108;127,1378;M;19
66,85975;122,3951;M;19
66,15618;118,9815;F;27
67,45204;125,2554;F;20
67,60013;121,8996;F;18
66,75233;120,7738;M;20
60,8634;106,1939;F;30
66,19796;107,8874;F;19
65,67776;122,0686;M;20
68,99828;117,3948;F;18
68,02827;140,866;F;19
70,31743;149,3078;M;19
64,89375;125,5845;F;28
65,54201;131,28;F;21
68,67927;120,8432;F;22
66,50307;123,0181;M;22
67,06639;143,1561;M;30
68,34809;122,9334;M;20
67,7237;118,4002;M;22
71,2729;133,799;F;32
66,02325;115,9951;F;21
67,64412;117,6164;F;20
70,5122;133,0952;F;27
65,81299;111,2517;F;20
67,72994;134,9223;M;18
70,37065;142,7071;F;21
67,12868;128,8292;M;23
67,7056;126,9298;F;23
67,17205;115,2964;F;21
68,10555;136,4014;F;19
70,02968;139,6796;F;19
67,74365;132,6488;M;23
64,0239;131,5816;F;21
65,72062;109,6616;F;21
72,30502;138,1492;M;18
68,49538;132,5811;M;23
68,88875;126,3917;M;23
66,99923;133,9106;M;24
68,12136;137,1759;F;18
69,35409;135,8339;M;22
65,94423;130,5612;F;20
69,1535;134,0018;F;24
68,9858;133,0763;F;22
66,5432;109,9605;M;20
67,00921;132,5041;F;21
71,09758;126,9142;F;25
68,07213;124,4069;M;20
69,49666;146,5182;M;27
70,21782;140,9199;M;27
67,58857;133,1095;M;26
67,57075;138,0985;F;24
69,42517;137,6923;M;19
68,28537;136,6422;F;20
69,72848;149,467;M;28
69,92365;138,0429;F;20
68,79953;113,512;F;18
69,09202;130,8401;M;22
68,82166;125,858;F;20
68,79217;113,7784;F;19
68,20921;118,9215;F;22
64,85301;114,4354;F;21
68,43265;123,9837;F;24
68,41712;135,6646;F;22
68,48985;97,85054;M;24
67,77927;130,3916;M;32
66,72234;138,3614;M;22
66,17694;125,4018;F;20
68,07653;118,6076;F;22
68,39248;109,8622;F;21
66,36527;120,0788;F;19
62,87732;86,669;M;19
68,7832;142,6252;F;20
70,32779;135,5365;M;24
65,23714;130,1058;M;26
70,09673;141,5957;M;19
72,58203;125,2756;F;23
68,95451;131,6178;M;18
70,08286;129,0769;F;22
66,60565;108,4805;F;19
70,12381;139,1288;F;23
68,9783;145,3523;F;24
65,41373;125,9004;M;24
70,84046;126,4751;F;26
65,25996;119,209;F;22
67,59199;123,0037;M;21
69,34865;129,4727;F;22
69,39296;141,9344;F;23
63,75403;108,9765;M;18
67,96208;118,2419;F;18
70,15448;141,4635;M;24
70,04724;136,5986;F;27
66,06389;105,223;F;22
71,07997;127,8639;F;19
66,6113;134,331;M;27
66,86237;140,5931;M;20
70,25969;127,8158;M;22
65,89945;110,9553;F;21
68,29227;112,17;F;23
64,95871;117,7368;M;18
67,1086;133,5058;M;21
67,39014;119,9727;F;21
64,25871;115,9128;M;23
69,27316;131,0059;M;20
67,87387;121,2352;F;22
65,53554;121,5301;F;27
71,08776;130,4852;M;23
67,36554;127,386;F;20
65,41184;115,7506;F;20
68,03292;127,3987;M;19
66,72356;134,9064;M;19
68,02466;131,4015;M;23
67,36662;117,1467;F;20
68,93518;116,5689;M;21
68,578;127,307;M;25
64,74187;115,184;F;30
66,2743;114,0988;F;20
69,71458;131,5924;M;18
68,54427;137,3566;F;23
71,35055;135,1059;M;20
67,21472;137,3314;F;21
65,09449;113,229;F;23
67,50111;111,4446;F;25
70,80356;138,282;M;26
66,74779;126,8547;M;19
67,30525;135,6227;M;18
69,16712;128,8532;F;18
69,35292;139,9225;F;18
64,91373;101,2648;M;25
67,68617;132,6457;F;30
69,23168;133,9763;M;18
67,53083;138,6939;F;26
73,47519;156,5556;F;27
68,0664;128,1673;F;27
65,82069;125,261;M;26
69,01169;132,9188;M;21
69,72285;134,5923;F;19
70,52947;114,1222;M;22
67,2635;114,8907;M;23
69,0027;132,8863;M;23
67,91407;133,1336;M;25
66,94962;137,487;F;24
68,04101;118,2847;F;20
71,93262;133,1505;M;21
68,266;127,4658;M;23
67,22047;133,3136;F;27
70,82076;151,6654;F;25
67,97316;131,4318;M;25
67,86163;116,9394;M;24
66,75865;130,2682;F;19
68,68619;122,1336;M;20
68,55174;118,5602;M;20
70,64074;136,0448;M;22
64,54667;101,3587;M;19
70,20971;139,6653;M;19
65,24926;122,592;M;22
70,56077;142,8022;M;21
70,2161;119,6591;F;22
69,26794;130,0904;M;19
68,71495;142,531;F;27
69,83226;150,4973;F;18
67,95044;125,4476;M;18
66,69106;132,6528;F;25
66,69388;109,0486;F;23
68,85787;108,4688;F;27
66,75904;113,7091;M;21
69,47691;125,2285;M;22
69,16535;135,7451;M;36
66,17003;125,3914;M;21
65,52416;120,5974;F;26
65,51245;124,223;M;21
67,09453;131,6406;M;20
70,25624;130,8484;F;22
66,23165;123,4666;M;25
68,47727;125,3201;M;18
69,71255;135,4164;M;26
67,91161;135,2628;F;20
66,40266;127,9538;M;23
67,8244;117,6057;M;21
66,18945;120,9807;F;24
67,43176;122,2844;M;26
69,20081;120,9584;M;25
66,10694;124,0101;M;27
65,78863;113,8094;F;20
70,78459;145,5794;F;20
68,58712;124,2324;F;23
68,57242;106,2736;M;20
66,9078;114,6637;F;24
68,24046;116,8464;F;22
70,33099;137,315;M;25
66,34712;121,422;F;25
69,51991;139,1533;M;23
68,24002;138,3138;F;20
68,81582;128,7253;F;24
67,46373;140,8966;F;22
68,39019;144,1242;F;25
66,67797;128,4131;F;25
68,80968;126,858;F;27
69,4337;131,1752;F;21
66,65083;125,386;M;27
66,85582;122,8987;F;25
68,77332;146,0516;M;18
64,63102;113,7093;F;19
68,71508;143,0982;F;18
68,75348;133,4762;F;23
66,51489;113,0104;M;21
68,37401;106,2333;M;24
62,34907;92,08858;M;21
68,92916;129,1092;F;18
71,68363;129,1334;F;26
66,322;110,1751;F;20
69,50661;131,645;F;32
67,40328;139,6598;M;18
67,19077;112,4249;F;22
67,19175;135,4273;F;20
69,88968;135,0597;M;21
67,71483;131,9399;M;25
69,1943;123,0009;F;21
68,43015;126,813;F;18
71,52141;135,1442;F;21
66,03545;124,7625;M;21
66,75322;110,7626;M;18
67,97544;132,68;F;22
70,43693;148,038;M;19
66,97159;129,2555;F;24
64,39987;122,562;M;22
67,69987;128,6123;M;23
68,06251;125,5895;M;25
69,63558;124,3082;F;19
67,44679;116,4591;F;18
65,89161;115,974;F;26
69,51355;124,6651;F;23
63,64185;117,6007;M;23
66,78862;117,3315;M;28
67,36831;144,5431;M;19
64,77625;146,0965;M;23
69,18543;122,701;F;23
66,26194;118,7813;M;18
68,65178;121,752;F;22
69,14357;161,7266;M;22
68,66398;123,2472;M;21
70,5741;132,7715;M;20
67,54965;126,7619;F;26
68,71849;130,7257;F;23
67,01063;120,9484;F;20
67,36634;127,3686;M;20
68,16669;147,874;M;22
69,81134;141,3724;M;27
66,73085;115,7089;F;21
65,96768;114,223;M;22
66,26164;125,0622;F;18
70,12583;124,0039;F;24
66,31984;120,267;M;30
68,89732;124,8329;F;18
69,22677;128,9729;F;20
71,16343;143,5928;F;25
64,12514;134,7727;M;22
71,17117;152,651;M;22
66,91345;120,0058;F;21
66,64158;118,8403;F;20
66,52425;123,8263;F;20
70,46871;145,1333;F;19
65,93944;122,5218;M;23
66,70213;133,2482;F;21
64,60008;113,2583;M;25
67,22989;124,304;F;26
67,76131;140,08;F;28
65,63379;111,9369;M;23
69,74489;135,7224;M;23
69,74892;125,5452;F;19
66,1265;121,3924;F;22
69,56993;134,1461;M;19
69,4781;129,5945;F;27
69,251;135,8543;F;20
65,88081;116,0534;F;21
65,85276;117,3475;M;19
69,53098;138,892;M;25
67,702;119,1475;F;23
66,31858;132,1847;F;20
65,68324;111,7099;M;19
66,8561;142,4656;M;22
69,0744;120,1102;F;21
66,66269;110,537;M;22
66,5834;127,299;F;25
67,70926;132,0492;M;23
68,19135;116,3223;F;28
66,85165;117,069;F;22
68,99365;124,2528;F;24
68,96601;130,3402;M;18
70,93465;137,3957;F;21
69,53833;133,2753;F;30
66,13819;107,2152;M;20
66,02829;110,0063;F;25
70,24533;149,8284;F;23
67,86194;117,9091;M;22
67,23322;126,0349;M;19
67,50164;113,9574;F;22
71,23342;140,2096;F;20
69,88821;151,7165;F;20
67,85973;117,4995;M;23
69,22897;129,2885;F;21
65,35526;120,6695;F;24
65,52588;112,762;F;19
70,8509;130,0362;F;24
65,17021;111,9882;F;23
65,35895;107,5214;F;21
64,77466;127,5588;F;22
65,07433;119,1591;M;20
66,32264;109,9997;F;27
70,25829;129,6662;M;30
68,46057;135,197;M;20
67,32406;133,8561;F;22
69,53655;132,6168;M;22
66,72552;111,4197;F;23
69,04313;109,6263;M;21
67,63395;123,3522;M;21
67,68225;130,9284;F;21
67,20527;132,5174;F;21
68,57727;113,3802;F;21
69,81593;124,0074;F;21
67,27727;111,7334;F;20
70,77213;140,6956;F;30
64,39879;112,6936;F;22
67,32911;119,5627;M;24
68,56564;137,7463;M;23
70,12937;128,2247;F;23
70,50405;111,7906;F;20
67,69242;135,8347;F;20
66,15337;123,5173;F;21
67,04967;121,4366;M;20
67,14891;132,7812;F;19
68,06454;131,8433;F;22
66,40213;141,9992;F;20
68,74408;123,0744;M;24
68,28835;129,5032;M;25
68,49705;148,1317;F;24
69,61735;131,6342;M;23
65,46622;118,5369;M;22
68,4357;102,342;M;20
66,21604;118,1429;F;19
71,1547;137,0264;F;20
65,50148;106,2971;M;28
70,46899;140,2618;F;21
67,60018;123;M;19
69,30591;123,2186;M;21
65,67069;122,2368;F;21
67,36778;117,442;F;21
68,47589;137,8969;F;19
69,72743;134,3279;M;23
68,84393;117,6781;F;26
69,19121;129,7261;F;23
68,51219;133,2155;F;23
66,30328;113,0214;M;25
72,1518;124,9451;F;23
68,31371;128,7378;F;21
66,21908;99,78213;F;23
64,60633;120,786;F;25
70,23266;127,1388;F;23
68,73753;144,4456;M;28
69,49503;132,1904;F;22
67,25261;137,7559;M;27
71,46246;141,305;M;25
67,7491;139,5633;F;24
68,80025;128,2314;F;25
66,8725;119,1075;F;18
68,4765;120,8274;M;26
64,86316;116,4621;M;22
67,91753;139,5891;F;28
67,84233;138,0376;F;18
69,38148;124,8913;M;22
66,94613;127,2921;M;19
67,45924;117,4689;M;26
69,99586;132,8246;M;20
67,45856;123,6045;F;23
64,09151;138,3749;F;20
66,37835;122,9717;M;22
70,12316;122,3759;M;23
67,34219;121,3154;F;30
70,14728;136,3431;F;30
69,0379;123,907;F;19
67,0297;107,5287;M;20
64,85652;130,1924;M;22
65,94007;109,5656;F;28
64,69116;115,9239;M;23
62,53019;109,5766;F;21
67,78541;124,236;M;22
68,27657;133,3359;F;23
65,93553;118,4802;F;20
67,48252;120,3425;F;26
67,80949;131,0862;F;22
70,04498;129,9862;F;25
66,0988;121,7657;F;27
67,87462;145,1821;F;20
65,04519;134,0519;M;19
64,96125;105,489;M;19
64,82767;112,1873;F;20
70,08844;137,1698;F;19
70,70944;142,7307;F;18
66,80032;123,4484;F;23
67,14141;120,8645;M;23
67,04259;135,9558;F;30
68,48662;148,4587;F;22
72,31757;144,881;F;21
66,47968;139,3578;M;24
66,82557;109,1264;F;22
70,06934;135,3785;F;19
67,217;113,8089;F;22
67,12457;148,5183;M;20
68,4131;144,8827;M;18
66,02919;114,9248;F;23
66,84654;114,9225;M;21
68,94666;122,8046;F;23
68,91853;133,5443;M;21
65,5914;131,9386;F;27
65,51261;120,6623;M;20
69,27083;145,653;F;21
69,57316;130,7801;F;22
67,86325;118,8413;F;19
72,33364;133,6214;M;20
67,21175;104,1953;F;21
68,83481;117,464;F;21
68,46136;145,8766;F;25
68,1713;135,6227;F;20
69,69391;129,1389;M;23
67,12571;149,7706;F;22
70,36279;134,1039;M;21
71,4732;143,9365;F;19
68,51565;132,4801;F;23
70,06817;149,4329;M;21
68,04516;132,5979;F;23
67,47227;133,6407;F;26
70,56501;147,4583;F;18
67,64197;100,025;F;19
72,23026;140,2179;F;21
67,45255;120,8849;F;22
66,97768;109,3834;F;22
67,28894;136,1833;M;22
66,02667;115,1345;M;30
64,15728;130,0889;F;21
67,78574;131,8054;F;21
71,05897;125,119;F;21
68,55136;149,0059;M;20
71,11228;129,2335;M;18
65,22518;120,5247;M;24
67,13777;123,2162;F;21
67,98084;117,4022;F;26
67,45039;106,9632;M;21
67,58732;119,6435;M;20
67,40106;134,1122;M;25
69,75732;129,9282;F;21
67,78374;130,1554;M;24
65,01631;106,8729;M;18
68,98708;126,6898;F;24
67,84236;115,7457;F;23
70,91418;130,1665;F;22
68,44803;110,8115;M;26
63,23903;119,8366;M;25
66,75371;113,1127;M;23
66,13148;118,4705;F;21
66,57052;135,6863;F;20
68,43743;111,4731;M;24
68,12826;129,3106;M;26
65,66194;116,9965;M;23
68,64587;128,6098;F;20
67,01908;137,8634;F;30
66,3869;135,486;F;21
67,43419;112,9047;F;26
67,0218;143,1287;M;18
70,98964;136,9279;M;27
64,47574;113,9935;M;24
66,48783;121,2945;F;24
68,28864;130,4347;M;22
66,11987;133,8865;F;21
68,73539;153,3002;M;34
67,61776;123,3522;M;25
65,99257;105,2183;F;22
71,79273;144,2173;F;22
69,76151;155,9849;F;21
67,65103;111,6875;F;23
64,82727;125,8154;M;22
68,38678;121,5078;F;24
68,35981;129,6506;F;18
67,56773;116,2672;M;21
67,70372;125,3254;M;23
70,42781;165,7172;F;22
66,27416;133,3637;M;25
68,61263;145,4779;F;19
69,9746;135,8348;F;21
69,38629;130,2342;M;23
63,38805;114,0297;M;23
68,40181;117,6173;M;19
65,89607;123,5651;M;30
66,25442;124,9826;F;24
68,43563;131,054;F;23
68,43069;152,1767;M;22
67,44333;118,6275;F;20
68,75899;112,2566;M;20
65,87903;127,7575;M;30
67,3794;120,4361;M;19
67,20197;104,816;M;30
71,72566;119,2446;F;18
68,326;125,8377;F;23
69,07214;131,3704;F;20
70,39663;125,35;F;30
68,46942;118,3351;M;19
70,75069;129,7989;M;19
68,25077;126,6471;F;18
69,4218;129,0352;M;20
67,75693;134,8437;F;23
68,78237;150,5262;M;18
68,93468;132,4508;M;20
64,36411;131,0136;F;26
69,45069;151,8922;M;25
68,70335;122,5303;F;28
69,17716;127,2585;F;22
73,32701;147,9296;M;22
69,01245;108,8242;M;22
65,2012;127,7629;M;23
67,65215;130,3;M;20
68,59028;124,4653;F;21
70,1527;159,2435;M;19
70,35282;130,4261;M;21
67,14863;144,1876;F;22
72,11654;136,8595;M;19
64,54112;105,9232;M;27
68,94058;131,888;M;26
68,18651;129,5985;M;22
72,69199;121,7006;M;20
68,2263;128,3129;F;25
70,40403;130,5713;F;24
65,32887;126,0176;M;23
65,29057;109,782;F;23
65,58939;109,7956;M;19
65,28916;128,021;F;21
69,91649;132,3785;F;28
66,59848;127,7981;F;26
69,24885;133,7892;F;19
68,81944;124,2264;M;23
68,79688;122,0913;F;23
67,19139;127,5538;M;20
68,40568;142,3945;F;24
70,58364;135,3762;M;22
68,401;143,1102;F;21
70,95629;139,016;M;20
69,85706;120,7675;F;24
65,61593;129,3528;F;18
65,39064;96,54815;M;18
67,95175;128,2412;M;19
70,05209;123,2307;F;27
68,18199;134,9267;M;25
68,79938;116,6928;F;25
67,36607;118,689;M;20
70,62204;125,7371;M;18
71,7953;158,2326;F;19
66,53015;117,0002;M;24
65,09768;134,3973;F;20
64,76077;128,8129;F;21
69,03578;130,8927;F;21
65,44403;109,9232;F;20
66,15236;110,353;F;24
69,55012;138,8793;M;18
64,92792;116,1101;F;22
67,75727;122,6048;F;23
69,05062;143,6487;F;20
64,93136;94,59876;M;20
70,18691;130,8536;M;24
67,72971;148,7955;F;20
67,32869;130,6884;M;24
69,70995;151,1615;F;19
71,38761;144,922;M;22
67,33116;132,6171;F;22
68,52212;120,6801;F;32
70,20145;117,236;M;19
66,58931;117,0805;F;23
69,02084;131,2609;F;25
68,78726;123,945;F;23
69,06258;120,0654;F;22
70,13521;126,9799;M;23
69,71943;136,3826;M;20
69,37398;131,2544;F;28
69,05735;132,3124;M;25
70,05472;132,6614;M;20
68,34561;133,09;F;24
67,52209;121,4611;M;19
70,0784;133,6073;M;25
68,1606;142,0494;M;24
66,76219;133,1326;M;23
67,39828;119,6178;M;21
69,23848;129,4479;M;22
63,37741;121,7897;M;27
68,52886;129,8267;F;21
66,21498;131,2149;F;26
66,87539;136,5157;M;22
67,37879;113,5019;F;24
66,66129;133,4427;F;20
68,08244;133,4736;M;20
65,97344;135,5212;M;26
65,8609;122,3441;F;27
67,68464;124,7005;F;23
69,1243;126,6651;M;33
71,24086;127,2719;F;33
69,075;125,6317;F;19
69,07254;128,9997;M;23
65,76779;121,7671;F;24
69,5003;142,9457;F;22
69,21009;129,2261;M;19
66,131;128,9078;F;23
66,45404;109,0055;M;19
65,43012;129,1382;M;23
68,37789;132,0082;M;22
69,25871;126,1872;M;21
68,55917;131,6865;M;23
69,82956;152,9133;F;19
68,56366;135,9443;M;21
69,89716;135,4161;M;26
67,22911;126,9908;M;21
68,27784;151,4986;F;21
67,70956;120,9284;M;19
68,63497;143,909;M;30
66,24494;148,3015;M;23
65,9282;98,38391;F;22
68,6507;134,6537;F;24
67,66363;91,26068;F;19
68,1538;129,1524;M;23
63,79264;116,3877;M;23
65,46251;128,8832;F;23
70,75386;135,3328;M;21
66,29608;119,843;F;21
66,17127;132,3032;F;18
70,22032;129,6479;M;22
68,38254;135,7889;F;20
68,72417;119,4445;M;25
69,03554;131,3376;F;28
69,23422;119,5137;F;21
68,75012;142,7779;M;27
68,70768;142,0977;M;19
67,9005;125,3087;M;20
69,60629;146,4574;F;19
66,8099;129,1352;M;20
65,01465;100,5445;F;25
67,35337;131,1702;F;21
63,03599;112,098;M;22
68,79753;117,0905;F;21
68,69337;132,2144;F;18
66,37421;123,5625;F;23
68,3918;123,9172;M;21
66,86315;123,8108;F;25
69,64423;130,3421;M;27
68,98795;128,7153;F;20
68,7025;131,4076;F;19
67,0616;110,9624;F;25
67,14099;120,8645;F;26
66,31361;127,8163;M;21
69,6794;140,4675;F;21
66,24529;117,5554;F;25
66,79284;138,8735;M;25
69,9798;132,5518;M;19
68,20436;144,968;F;20
67,80794;141,1958;F;18
71,49761;146,9498;F;35
71,80853;136,9644;M;23
67,83517;137,1286;F;20
68,34113;129,0216;M;27
69,08567;117,0247;M;19
66,75809;141,0586;M;21
65,40628;126,6997;M;19
65,53954;119,8531;F;20
69,0588;111,6993;F;18
67,7959;117,9009;F;19
71,39265;118,7488;M;26
66,70088;131,8821;F;27
69,67472;140,8053;M;20
69,23373;138,6932;F;22
70,9753;143,1101;F;24
67,65321;129,5612;M;21
65,60536;117,7563;F;20
67,32889;135,7928;F;24
69,521;128,0812;M;28
67,66563;121,5679;M;24
67,22662;130,5827;F;27
67,13201;118,4574;M;26
67,2819;119,473;M;20
66,45431;116,4503;M;21
68,42039;142,5478;F;18
67,14612;122,8747;F;27
62,98619;113,4143;M;18
63,66845;131,0824;M;23
65,28612;104,5026;F;24
64,30048;106,3191;M;18
66,10993;103,9913;F;24
65,91527;125,8579;M;20
67,82866;125,7767;M;24
69,87356;131,063;F;20
66,24116;112,8657;M;26
66,05187;121,3259;F;19
65,53557;119,5436;F;18
67,6665;144,1403;F;30
68,3058;119,0695;F;18
70,74075;137,7395;F;19
67,06837;122,4245;F;21
69,88488;145,2255;F;19
69,24424;141,3037;M;24
68,25133;115,4675;F;19
67,09232;138,4092;F;19
69,06273;112,7855;M;23
68,33125;131,4942;F;20
68,94119;134,7967;F;18
69,59518;115,4751;F;20
71,28803;157,5443;M;25
66,42491;127,2222;M;22
68,63305;131,8311;F;20
66,21553;111,216;M;21
67,47736;116,7243;M;24
64,51185;86,49925;M;23
67,33792;126,9632;F;26
67,41203;125,8066;F;23
67,89703;126,1505;M;22
65,08935;122,4771;M;27
70,58024;139,0572;M;26
70,26786;124,0146;F;26
68,09574;138,602;F;21
70,04702;133,2217;M;20
67,1535;115,3322;M;24
67,87558;127,5807;F;21
72,24161;144,0286;M;21
70,21055;131,3894;M;19
68,77272;134,0195;M;21
68,96749;122,9673;M;24
66,95136;111,7026;F;24
69,70156;132,0676;M;27
64,13956;93,09256;M;18
71,56149;153,1117;F;24
68,86042;153,6386;M;20
66,79593;127,4353;F;25
64,54504;113,8478;F;20
70,00599;142,7425;F;19
69,19904;145,2462;F;22
69,09444;140,8653;F;27
67,19525;105,4341;F;21
67,96947;105,7521;F;20
70,02533;139,9395;F;20
66,87761;122,6013;F;24
64,45014;131,0252;F;18
68,24912;135,3378;M;19
70,07101;152,8499;M;21
66,9759;113,9803;M;27
70,36787;140,2859;F;21
68,6591;146,4581;M;21
69,95361;141,0113;F;18
68,48425;128,0158;M;24
71,25946;164,5588;F;26
67,80922;130,3115;M;27
63,58671;117,3091;M;19
67,40848;135,3097;M;26
68,20701;128,4742;M;27
68,89247;124,929;F;18
66,05981;117,8305;M;20
65,66067;123,4769;F;19
69,39748;133,3201;M;21
65,92174;108,8612;F;22
64,78001;102,3802;F;18
67,59062;117,6786;F;20
71,00127;149,2434;F;21
69,48254;121,6221;M;20
68,48246;159,2052;F;21
68,09616;133,6355;F;18
69,48115;122,3265;M;28
70,50577;141,2895;M;23
69,5883;140,0531;F;19
69,31491;124,1149;M;27
68,39399;139,9906;F;24
62,23548;94,80998;M;20
69,8972;148,2548;F;32
68,06989;146,5246;M;18
69,12319;111,1013;F;20
69,95192;126,322;M;24
67,93156;137,8815;M;20
69,32167;130,0449;M;18
66,67312;141,5919;F;27
67,96604;123,8124;M;21
69,19829;130,9459;M;20
68,15828;114,9747;M;19
68,03235;116,2177;F;22
68,43761;102,8575;M;32
67,34517;103,4353;M;27
68,64435;127,6291;F;27
64,83459;112,7336;M;22
64,11121;111,5238;F;20
67,52032;101,0851;F;18
66,72676;128,6718;F;28
68,76169;132,1914;M;21
68,50268;123,0143;M;20
67,35174;122,898;F;21
66,64565;123,7642;M;23
67,11109;120,5121;F;20
67,92539;140,0124;M;24
65,7078;116,2137;F;19
67,65793;138,142;M;20
68,60162;134,1922;F;21
69,30603;130,9022;F;22
67,1095;137,4821;M;27
65,59186;103,921;M;19
67,66742;139,2905;M;18
68,63966;112,1105;M;26
64,7652;92,20107;F;23
67,60131;120,6972;F;22
67,31966;126,8577;M;25
66,51157;122,8182;M;18
69,93026;135,7746;M;22
67,60868;131,5309;M;21
65,7309;121,011;M;31
67,29622;118,9762;F;18
66,84201;120,7153;F;25
67,91374;137,0166;F;19
65,33921;109,9667;F;26
67,10739;127,3581;M;20
66,39279;131,2489;F;22
65,77143;118,5557;M;26
66,08581;122,4064;M;26
67,95467;136,8644;M;21
63,31058;113,5932;M;20
70,10242;123,0639;F;20
69,72937;130,3103;F;21
67,62461;118,9278;M;21
69,23113;111,379;M;25
67,38459;116,0054;M;26
70,68647;146,7535;M;22
71,42291;141,3565;M;28
68,60167;112,7169;F;19
65,01908;120,2538;F;19
68,22216;137,5639;F;21
66,18504;122,2857;F;21
67,34507;122,5287;F;20
69,8637;134,646;F;32
68,63027;121,5066;F;23
69,01165;130,7259;F;18
68,57992;116,8032;F;25
70,02954;135,12;M;19
67,8609;130,8429;M;23
67,071;128,6312;F;22
67,25316;121,6315;M;22
68,45752;138,1129;F;22
66,08131;110,8231;F;18
65,5926;104,7464;F;18
68,56861;118,8964;M;20
69,69795;143,2327;F;24
66,67277;108,3892;M;19
61,59011;99,81074;F;21
65,40277;114,1857;M;21
68,44756;127,5778;F;22
66,73714;118,4245;F;28
72,205;154,2642;F;19
68,46802;121,7574;M;18
70,10294;142,4799;M;31
66,48949;112,2608;M;20
67,19112;121,4096;F;19
65,22879;121,375;F;24
67,00396;127,1951;F;24
67,72317;107,6196;F;20
70,09165;152,4262;M;19
66,07538;128,1418;M;25
