Indice,Altura,Peso,Sexo,Idade,IMC
4786,1.69,66.1,F,25,23.1
4787,1.77,70.1,M,24,22.4
4788,1.82,69.2,F,26,20.9
4789,1.68,58.6,F,23,20.7
4790,1.77,69.8,F,19,22.4
4791,1.75,71.6,F,20,23.4
4792,1.79,75.1,M,21,23.4
4793,1.7,61.8,M,22,21.3
4794,1.76,67.4,F,27,21.9
4795,1.73,79.9,M,21,26.6
4796,1.89,77.6,F,24,21.8
4797,1.82,76.5,M,24,23.1
4798,1.76,68.3,F,19,21.9
4799,1.73,77.2,F,32,25.9
4800,1.71,69.9,F,23,23.9
4801,1.75,76.7,M,20,25.1
4802,1.75,71.9,M,18,23.4
4803,1.67,71.8,M,25,25.8
4804,1.82,75.9,F,24,23
4805,1.7,71.5,M,25,24.8
4806,1.75,67.7,F,18,22.2
4807,1.63,63.7,M,22,23.9
4808,1.76,69.5,F,23,22.5
4809,1.67,74.3,M,32,26.5
4810,1.71,71.6,M,26,24.5
4811,1.7,68.8,F,18,23.9
4812,1.77,73.3,F,21,23.5
4813,1.61,73.9,M,23,28.6
4814,1.74,74.7,M,20,24.6
4815,1.77,70.1,F,24,22.4
4816,1.71,57.9,F,28,19.9
4817,1.78,67.4,M,19,21.4
4818,1.78,69,F,24,21.8
4819,1.78,71.1,F,20,22.5
4820,1.74,72.9,M,25,24
4821,1.71,67.1,F,27,23
4822,1.73,65,M,26,21.6
4823,1.7,70.5,M,21,24.3
4824,1.7,70.5,M,27,24.3
4825,1.65,55.8,F,20,20.6
4826,1.75,79,M,20,25.9
4827,1.69,67.6,M,21,23.7
4828,1.79,67.3,F,20,20.9
4829,1.78,71.5,F,19,22.5
4830,1.78,73.2,M,25,23.1
4831,1.59,53.1,F,18,20.9
4832,1.69,67.1,F,21,23.4
4833,1.74,66.4,M,19,22
4834,1.8,80,F,21,24.7
4835,1.82,72.2,F,18,21.8
4836,1.77,71.1,M,22,22.7
4837,1.81,70.1,F,19,21.3
4838,1.68,64.4,F,25,22.8
4839,1.74,77.7,M,19,25.6
4840,1.68,68.9,M,28,24.4
4841,1.67,66,M,24,23.5
4842,1.67,69.7,M,27,25
4843,1.65,57.7,F,21,21.1
4844,1.66,62.2,M,20,22.6
4845,1.8,76.6,F,18,23.7
4846,1.67,68,F,19,24.2
4847,1.78,70.5,M,18,22.2
4848,1.7,73.4,M,26,25.3
4849,1.75,68.8,F,23,22.4
4850,1.71,62,F,18,21.1
4851,1.75,68.2,F,24,22.2
4852,1.79,70.8,F,25,22.2
4853,1.76,70.1,M,20,22.7
4854,1.68,70.7,M,22,25
4855,1.64,71,M,23,26.5
4856,1.67,60.6,F,21,21.7
4857,1.71,74,M,21,25.3
4858,1.68,60.3,F,25,21.3
4859,1.83,72.2,F,21,21.6
4860,1.7,67.2,F,25,23.3
4861,1.75,71.1,M,19,23.1
4862,1.78,74.9,M,22,23.6
4863,1.73,63.8,F,20,21.4
4864,1.77,72.1,M,21,23
4865,1.7,66,M,28,22.7
4866,1.78,76.9,M,24,24.2
4867,1.73,75.2,M,24,25.2
4868,1.76,66.4,F,22,21.4
4869,1.75,78.3,M,23,25.5
4870,1.78,64.9,F,19,20.5
4871,1.75,67.8,F,24,22.3
4872,1.73,71.8,M,24,24
4873,1.7,76.9,F,20,26.4
4874,1.75,69.1,M,18,22.5
4875,1.77,68.3,F,26,21.9
4876,1.67,67.5,F,21,24.1
4877,1.71,75.8,M,26,25.8
4878,1.78,74.9,F,21,23.8
4879,1.7,70.9,M,21,24.5
4880,1.74,58.7,M,21,19.3
4881,1.71,72.1,M,25,24.8
4882,1.78,71.1,M,24,22.4
4883,1.7,67,F,21,23.1
4884,1.7,68.5,M,20,23.7
4885,1.68,68,F,21,24
4886,1.7,60.2,F,30,20.9
4887,1.71,69.5,M,19,23.8
4888,1.71,64.7,F,24,22
4889,1.69,65.4,F,24,22.8
4890,1.75,64.8,F,19,21.2
4891,1.71,64.5,F,27,22.1
4892,1.71,71.2,M,20,24.4
4893,1.73,73.8,M,18,24.6
4894,1.66,61.6,F,28,22.2
4895,1.73,67.7,F,23,22.6
4896,1.69,62.9,F,23,22
4897,1.76,67.8,F,23,21.9
4898,1.78,77.8,M,21,24.4
4899,1.76,51.6,F,21,16.7
4900,1.75,67.5,M,21,22.1
4901,1.75,66.4,M,24,21.6
4902,1.65,64.2,M,34,23.7
4903,1.79,73.8,M,24,23
4904,1.76,73.5,F,24,23.6
4905,1.71,75.1,M,26,25.6
4906,1.68,65.5,F,27,23.3
4907,1.78,64.5,F,20,20.4
4908,1.69,62.9,F,21,22
4909,1.75,76.7,M,20,24.9
4910,1.64,63.9,M,25,23.8
4911,1.72,65.8,F,27,22.2
4912,1.72,71.8,M,21,24.2
4913,1.71,69,F,24,23.6
4914,1.75,70.6,F,22,22.9
4915,1.76,70.2,F,22,22.8
4916,1.76,73.7,M,24,23.8
4917,1.73,63.7,F,19,21.3
4918,1.76,73.3,M,23,23.6
4919,1.68,71.7,M,21,25.4
4920,1.76,69.8,M,20,22.6
4921,1.69,65.6,M,21,23
4922,1.67,69.5,M,18,25
4923,1.67,67.6,F,32,24.3
4924,1.74,72,M,19,23.7
4925,1.71,68.1,F,24,23.2
4926,1.77,76.2,M,22,24.3
4927,1.73,69,F,20,23.2
4928,1.7,64.4,F,22,22.2
4929,1.83,80.4,F,24,23.9
4930,1.74,62.3,F,30,20.5
4931,1.82,75.2,M,23,22.8
4932,1.69,68.2,M,19,23.8
4933,1.77,65.5,F,25,21
4934,1.72,66.4,M,24,22.4
4935,1.74,61.8,F,18,20.3
4936,1.74,70.6,M,36,23.2
4937,1.74,70.3,M,27,23.2
4938,1.81,70.6,F,23,21.4
4939,1.74,70.1,M,20,23
4940,1.77,72.1,M,23,23
4941,1.71,63.4,F,21,21.7
4942,1.8,71.3,F,25,22
4943,1.72,63.2,F,20,21.4
4944,1.72,75.8,F,22,25.6
4945,1.75,64.7,F,27,21.2
4946,1.7,63.5,F,19,22
4947,1.71,60.9,F,26,20.9
4948,1.74,65,M,24,21.4
4949,1.79,69.7,F,26,21.7
4950,1.73,62.9,M,21,21.1
4951,1.73,69,M,20,23
4952,1.84,73.8,M,20,21.7
4953,1.68,79.5,M,23,28.1
4954,1.71,70.2,M,19,24.1
4955,1.66,57.4,F,32,20.9
4956,1.71,62.5,F,18,21.3
4957,1.69,75,F,24,26.2
4958,1.74,69.7,F,20,23
4959,1.76,68,M,22,22
4960,1.61,65.1,M,24,25
4961,1.76,68.2,M,32,22.1
4962,1.7,73.9,M,21,25.7
4963,1.75,70,M,25,22.8
4964,1.72,66,F,24,22.3
4965,1.7,64.1,F,18,22.1
4966,1.73,63.4,F,24,21.3
4967,1.73,63.4,F,28,21.3
4968,1.71,78.4,M,19,26.8
4969,1.68,57.2,F,20,20.3
4970,1.75,69.2,F,18,22.7
4971,1.73,64.9,F,18,21.7
4972,1.72,75.4,M,25,25.5
4973,1.66,67.6,F,21,24.6
4974,1.69,68.5,M,20,24.1
4975,1.69,64.5,M,20,22.6
4976,1.76,69.1,M,18,22.2
4977,1.71,68.9,M,24,23.6
4978,1.86,81.5,M,24,23.6
4979,1.72,68.7,F,23,23.3
4980,1.69,59.4,F,22,20.8
4981,1.67,69.2,M,24,24.7
4982,1.7,61.4,M,20,21.3
4983,1.74,69.4,F,30,22.8
4984,1.78,72.3,F,19,22.9
4985,1.75,74.7,F,23,24.4
4986,1.64,56.8,F,19,21.1
4987,1.72,65.4,F,22,22.2
4988,1.75,65,M,21,21.3
4989,1.75,73.8,M,21,24.1
4990,1.77,69.4,F,20,22.1
4991,1.74,67.9,F,18,22.4
4992,1.77,70.3,M,21,22.5
4993,1.73,67.5,M,21,22.6
4994,1.68,67.9,M,18,24.2
4995,1.73,65.3,F,28,21.8
4996,1.69,71.9,F,22,25.3
4997,1.72,62,F,30,21
4998,1.59,65.6,M,30,26
4999,1.66,65,F,24,23.5
5000,1.77,69.7,M,25,22.3
5001,1.74,71.7,F,25,23.6
5002,1.77,73.4,M,20,23.4
5003,1.73,60.9,F,22,20.4
5004,1.76,63.3,F,28,20.4
5005,1.73,73.2,M,20,24.4
5006,1.7,74.6,M,20,25.7
5007,1.77,68.7,F,23,22
5008,1.77,82.3,M,19,26.3
5009,1.73,69,F,20,23.1
5010,1.68,75.7,M,21,26.9
5011,1.74,75.4,F,25,25
5012,1.75,79.3,F,21,26
5013,1.73,75.9,M,24,25.3
5014,1.63,57.3,F,27,21.6
5015,1.71,72,M,21,24.6
5016,1.73,67.1,M,19,22.4
5017,1.77,70.7,M,27,22.4
5018,1.71,71.1,F,24,24.4
5019,1.66,70.9,F,20,25.6
5020,1.7,62.3,F,18,21.5
5021,1.74,66.3,F,19,21.8
5022,1.77,70.1,M,22,22.3
5023,1.78,76.8,M,19,24.2
5024,1.79,72.4,M,19,22.6
5025,1.72,66.4,F,22,22.5
5026,1.83,79.4,M,21,23.8
5027,1.71,68.1,M,25,23.2
5028,1.76,69.3,M,21,22.4
5029,1.75,65.7,M,23,21.5
5030,1.78,72.5,F,21,22.9
5031,1.81,77.3,M,23,23.6
5032,1.77,76.4,M,19,24.4
5033,1.76,68.9,M,21,22.3
5034,1.79,62.9,F,30,19.7
5035,1.69,68.7,F,20,24.1
5036,1.7,66.3,M,24,22.9
5037,1.69,67.2,F,20,23.6
5038,1.74,69.8,F,20,23
5039,1.68,76.6,M,24,27.3
5040,1.8,71.2,F,18,21.9
5041,1.66,65.2,M,27,23.7
5042,1.82,80,M,19,24
5043,1.73,60,F,20,20.2
5044,1.76,72.7,M,20,23.5
5045,1.7,65.7,M,21,22.7
5046,1.68,64.6,F,21,23
5047,1.76,70.4,F,18,22.8
5048,1.67,61.7,F,23,22.1
5049,1.77,73.8,F,26,23.6
5050,1.75,74,F,18,24.3
5051,1.75,68.8,F,20,22.3
5052,1.73,65.4,F,21,21.8
5053,1.65,65.5,M,21,24.2
5054,1.75,73.9,M,21,24.2
5055,1.73,75.3,M,18,25.2
5056,1.76,64.2,F,25,20.6
5057,1.75,72.1,M,22,23.4
5058,1.61,67.7,M,26,26
5059,1.79,67.5,F,24,21
5060,1.79,72.7,M,25,22.6
5061,1.7,69,M,26,23.8
5062,1.64,65.7,M,27,24.4
5063,1.74,66.6,F,24,22.1
5064,1.75,63,F,25,20.7
5065,1.78,71.7,F,22,22.5
5066,1.79,78,M,20,24.2
5067,1.74,69.1,F,20,22.8
5068,1.71,59.9,F,19,20.6
5069,1.75,69.8,F,22,22.7
5070,1.63,60.1,F,23,22.5
5071,1.76,67.4,M,18,21.8
5072,1.67,58.2,F,20,20.7
5073,1.73,66.9,M,18,22.3
5074,1.71,78.9,M,20,26.9
5075,1.71,76.9,M,20,26.3
5076,1.71,84,M,21,28.8
5077,1.85,78.7,M,22,23
5078,1.75,73.9,M,22,24.1
5079,1.75,63,F,23,20.6
5080,1.77,68.3,F,22,21.9
5081,1.79,65.8,M,28,20.6
5082,1.72,68.8,M,19,23.3
5083,1.73,66.5,F,21,22.1
5084,1.68,68.2,M,21,24.1
5085,1.79,63.1,M,21,19.7
5086,1.72,69.2,F,30,23.4
5087,1.7,74.4,F,19,25.6
5088,1.71,64.4,F,24,22
5089,1.76,75.3,F,27,24.2
5090,1.7,64.2,M,21,22.3
5091,1.71,68.8,F,22,23.5
5092,1.72,68.7,F,26,23.2
5093,1.74,67.3,M,20,22.1
5094,1.77,73.5,F,22,23.4
5095,1.73,69.2,M,24,23.1
5096,1.73,62.6,M,19,20.9
5097,1.77,67.5,M,22,21.5
5098,1.64,60.5,M,23,22.5
5099,1.74,66.1,M,22,21.8
5100,1.81,72.7,F,25,22.1
5101,1.64,62.9,M,19,23.3
5102,1.6,71.1,F,22,27.6
5103,1.81,69,F,24,21.1
5104,1.61,62.9,F,22,24.3
5105,1.76,70.8,M,18,22.7
5106,1.71,63.7,M,20,21.8
5107,1.64,64.6,M,19,24.1
5108,1.69,61.2,F,21,21.3
5109,1.78,75.5,F,26,23.9
5110,1.69,70.9,F,22,24.7
5111,1.71,65.5,M,19,22.5
5112,1.73,69.5,F,24,23.3
5113,1.79,64.5,F,27,20.1
5114,1.64,59.9,M,23,22.2
5115,1.88,70.2,F,20,19.8
5116,1.74,69.8,M,20,23.2
5117,1.7,61.6,F,23,21.4
5118,1.61,57.8,F,28,22.2
5119,1.73,69.9,F,21,23.3
5120,1.74,64.9,F,21,21.5
5121,1.65,58.8,M,26,21.5
5122,1.69,67.2,F,26,23.6
5123,1.77,78.8,M,25,25.2
5124,1.72,67.5,F,23,22.9
5125,1.68,69.7,F,24,24.6
5126,1.72,70.4,F,25,23.7
5127,1.73,65.2,M,20,21.9
5128,1.65,68.9,M,20,25.2
5129,1.75,69.6,M,18,22.7
5130,1.79,71.2,F,21,22.3
5131,1.68,67.2,F,18,23.7
5132,1.74,63.5,F,21,20.9
5133,1.73,69.8,M,19,23.4
5134,1.69,70.6,M,21,24.7
5135,1.7,60.7,F,21,20.9
5136,1.8,69.6,M,24,21.4
5137,1.67,63.4,F,21,22.6
5138,1.68,69.1,F,19,24.5
5139,1.72,79.9,M,22,26.9
5140,1.73,61.6,F,30,20.6
5141,1.74,65.2,F,32,21.5
5142,1.7,64.5,F,21,22.2
5143,1.78,62.7,F,21,19.7
5144,1.71,74.7,M,27,25.5
5145,1.71,59.6,F,23,20.3
5146,1.74,68.4,F,19,22.7
5147,1.72,63.8,M,21,21.4
5148,1.75,74.5,M,20,24.4
5149,1.77,70.7,F,23,22.6
5150,1.68,61.5,F,21,21.8
5151,1.78,68.7,F,21,21.8
5152,1.74,66.4,M,19,21.9
5153,1.72,65.6,M,19,22.1
5154,1.73,69.9,M,24,23.4
5155,1.75,68.2,F,21,22.2
5156,1.76,82,F,23,26.3
5157,1.83,74.6,M,24,22.4
5158,1.71,63.5,F,18,21.7
5159,1.66,60.2,F,24,21.8
5160,1.78,70.8,F,18,22.3
5161,1.69,66.6,M,21,23.3
5162,1.71,71.6,F,25,24.5
5163,1.78,65.7,F,26,20.6
5164,1.73,76,F,19,25.5
5165,1.65,65.7,F,25,24.3
5166,1.76,61.7,F,22,19.9
5167,1.85,77.9,M,24,22.8
5168,1.74,74.1,F,24,24.5
5169,1.73,71.5,F,27,23.9
5170,1.72,64.5,F,28,21.9
5171,1.73,70.6,F,23,23.5
5172,1.66,84.6,M,21,30.7
5173,1.71,66.1,M,23,22.7
5174,1.71,72.1,M,22,24.7
5175,1.72,60.7,M,26,20.6
5176,1.64,65.4,F,27,24.4
5177,1.74,65.6,M,26,21.7
5178,1.76,70.5,F,26,22.7
5179,1.71,72.9,M,22,24.9
5180,1.64,64,F,21,23.8
5181,1.68,62.3,F,22,21.9
5182,1.78,67.5,F,27,21.4
5183,1.71,61.5,M,23,21
5184,1.73,58.9,F,24,19.6
5185,1.67,66.2,M,27,23.6
5186,1.68,60.3,M,23,21.3
5187,1.76,69.7,F,20,22.6
5188,1.75,64.8,F,21,21
5189,1.64,67.2,M,24,25
5190,1.7,64.5,M,24,22.3
5191,1.74,70.5,M,23,23.3
5192,1.75,71.9,F,20,23.4
5193,1.67,62.1,F,23,22.2
5194,1.71,83.9,M,22,28.6
5195,1.69,70.9,M,22,24.8
5196,1.74,68.5,M,18,22.6
5197,1.79,71.3,F,24,22.3
5198,1.76,70.7,M,24,22.8
5199,1.72,66.1,M,27,22.3
5200,1.66,67.4,F,21,24.6
5201,1.7,65.8,F,25,22.7
5202,1.7,68.6,F,20,23.8
5203,1.73,68.5,F,20,22.9
5204,1.78,76.5,F,18,24
5205,1.67,64.3,M,19,23
5206,1.74,67.8,F,23,22.5
5207,1.67,69.8,F,21,25.1
5208,1.8,74.4,F,18,22.9
5209,1.73,80.1,F,32,26.7
5210,1.68,73.5,M,28,26
5211,1.7,68.4,F,21,23.6
5212,1.7,60.3,M,21,20.8
5213,1.66,62.8,F,19,22.8
5214,1.75,75.1,M,22,24.5
5215,1.68,66.8,F,28,23.7
5216,1.73,66.5,M,18,22.3
5217,1.75,65.6,M,28,21.4
5218,1.76,71.1,F,19,23
5219,1.74,72,F,27,23.7
5220,1.76,69.9,M,24,22.5
5221,1.61,60,M,27,23.1
5222,1.65,74.5,F,21,27.5
5223,1.77,75.4,M,23,23.9
5224,1.67,64.6,F,20,23.2
5225,1.66,67,F,20,24.3
5226,1.68,75.8,M,23,26.8
5227,1.69,65.3,F,19,22.9
5228,1.79,68.4,M,20,21.3
5229,1.73,72.3,F,20,24.3
5230,1.76,66.2,F,20,21.4
5231,1.66,68.9,M,30,25.1
5232,1.72,66.9,M,23,22.6
5233,1.71,70.5,F,25,24.2
5234,1.81,74.3,F,22,22.6
5235,1.68,68,F,27,24.1
5236,1.78,65.3,F,23,20.6
5237,1.75,66.6,F,25,21.8
5238,1.78,78.1,F,25,24.7
5239,1.69,63.2,F,22,22.2
5240,1.74,70.5,M,22,23.2
5241,1.73,72,M,21,24
5242,1.69,65.8,F,26,23
5243,1.73,67.1,M,20,22.4
5244,1.82,71.3,M,24,21.4
5245,1.76,67.5,M,34,21.7
5246,1.75,67.9,F,26,22.3
5247,1.75,80.3,M,26,26.2
5248,1.7,57.9,F,21,20.1
5249,1.68,67,F,18,23.6
5250,1.75,79.1,M,24,25.8
5251,1.79,80.4,F,20,25
5252,1.68,68.3,F,23,24.2
5253,1.69,68.6,M,21,24
5254,1.74,68.6,F,25,22.7
5255,1.63,66.1,F,28,24.9
5256,1.73,64.3,F,26,21.6
5257,1.76,65.4,F,18,21.1
5258,1.75,66.2,F,20,21.6
5259,1.77,72.4,F,33,23.1
5260,1.78,70.4,M,28,22.1
5261,1.8,76.1,F,24,23.6
5262,1.66,57.9,F,21,21
5263,1.72,60.1,F,20,20.3
5264,1.72,69,F,21,23.4
5265,1.64,70.3,M,19,26
5266,1.75,58.6,F,26,19.2
5267,1.75,69,F,20,22.5
5268,1.87,82.4,M,30,23.6
5269,1.76,72.9,F,21,23.5
5270,1.78,67.9,M,21,21.4
5271,1.68,67.4,F,23,23.8
5272,1.82,74.9,F,24,22.6
5273,1.71,79.8,F,21,27.4
5274,1.75,57.7,M,26,18.9
5275,1.68,72.5,F,18,25.7
5276,1.69,68.3,F,23,24
5277,1.69,60.7,F,20,21.3
5278,1.72,57.6,F,23,19.4
5279,1.66,63.9,M,22,23.1
5280,1.71,71.7,F,22,24.4
5281,1.71,69.9,F,20,24
5282,1.67,66.2,M,18,23.8
5283,1.71,71.1,F,23,24.2
5284,1.81,72.9,F,25,22.2
5285,1.76,71.3,F,21,23.1
5286,1.69,58.4,F,20,20.4
5287,1.74,70.3,F,24,23.1
5288,1.62,57.1,F,28,21.8
5289,1.71,75.2,M,18,25.7
5290,1.7,61.2,F,25,21.1
5291,1.71,70.7,M,21,24.2
5292,1.7,66.9,M,22,23.1
5293,1.68,65.7,M,23,23.3
5294,1.8,76,F,18,23.5
5295,1.65,77.1,M,22,28.4
5296,1.8,64.9,F,32,20.1
5297,1.75,70.4,M,28,22.9
5298,1.67,62.9,M,23,22.4
5299,1.77,71.2,F,21,22.7
5300,1.67,60.3,M,22,21.5
5301,1.74,68.8,F,21,22.7
5302,1.73,70,M,26,23.5
5303,1.74,65.9,F,27,21.8
5304,1.74,68.7,F,22,22.6
5305,1.68,75.1,F,25,26.5
5306,1.73,60.9,F,24,20.3
5307,1.83,70.9,F,30,21.3
5308,1.79,64.5,F,18,20.1
5309,1.71,65.7,F,21,22.4
5310,1.72,67.4,M,21,22.8
5311,1.82,75.8,F,20,23
5312,1.76,71.8,M,20,23.1
5313,1.62,58.5,M,24,22.4
5314,1.63,61.7,M,24,23.1
5315,1.72,65.6,F,23,22.1
5316,1.71,74.9,M,22,25.6
5317,1.67,55.3,F,22,19.9
5318,1.74,69.2,M,28,22.9
5319,1.65,66.6,F,25,24.4
5320,1.74,76,M,23,25.2
5321,1.72,65.2,F,28,22
5322,1.69,64.9,M,21,22.8
5323,1.75,59.5,F,18,19.4
5324,1.77,70,M,20,22.4
5325,1.73,71.9,F,24,24.1
5326,1.7,68.2,F,23,23.7
5327,1.69,66.5,F,27,23.2
5328,1.7,62.5,F,24,21.7
5329,1.7,63.1,M,21,21.7
5330,1.74,81.4,M,19,27
5331,1.74,71.7,F,28,23.6
5332,1.75,74.8,M,20,24.4
5333,1.73,73.5,M,26,24.7
5334,1.8,64.8,F,22,20
5335,1.7,76.6,F,20,26.4
5336,1.64,64.1,F,25,23.8
5337,1.71,72.5,F,21,24.7
5338,1.77,65.8,F,27,21.1
5339,1.72,74.3,F,24,25.1
5340,1.71,70.2,M,25,23.9
5341,1.71,62.1,F,20,21.2
5342,1.74,67.6,F,23,22.2
5343,1.7,75.2,M,20,26
5344,1.65,65.4,M,20,24
5345,1.7,70,M,20,24.2
5346,1.74,68.2,F,24,22.5
5347,1.74,65.2,M,30,21.4
5348,1.67,72.8,F,21,26
5349,1.69,67,F,18,23.5
5350,1.67,68.3,F,18,24.6
5351,1.67,67.9,M,23,24.3
5352,1.71,67.3,M,32,23.1
5353,1.74,72,M,27,23.8
5354,1.73,56.7,F,19,19
5355,1.63,70,M,22,26.3
5356,1.72,71.8,F,23,24.3
5357,1.7,69.6,F,24,24
5358,1.75,70.6,M,18,23.1
5359,1.7,70.1,F,18,24.2
5360,1.7,67.6,M,24,23.4
5361,1.76,72,M,23,23.2
5362,1.73,69,F,21,23
5363,1.75,72.4,F,26,23.7
5364,1.67,64.9,F,25,23.3
5365,1.71,70.5,M,24,24
5366,1.74,75.7,M,26,25.1
5367,1.72,74.9,F,22,25.3
5368,1.76,68.8,M,22,22.3
5369,1.7,68.2,F,24,23.6
5370,1.73,67.7,F,27,22.5
5371,1.75,69.2,M,25,22.5
5372,1.76,58.1,F,25,18.7
5373,1.68,75.7,M,25,26.8
5374,1.72,63,F,22,21.2
5375,1.76,69.8,F,20,22.6
5376,1.7,63,M,22,21.9
5377,1.77,76.9,M,20,24.5
5378,1.66,53.3,F,21,19.3
5379,1.74,76.4,F,21,25.3
5380,1.72,69.4,M,25,23.4
5381,1.67,65.7,F,19,23.5
5382,1.72,68.6,F,21,23.1
5383,1.7,60.4,M,30,21
5384,1.77,62.5,M,23,19.8
5385,1.66,64.1,F,19,23.2
5386,1.69,64.6,F,19,22.6
5387,1.75,71.9,M,27,23.6
5388,1.77,73.8,F,21,23.5
5389,1.73,76.2,M,25,25.5
5390,1.69,62.4,F,22,22
5391,1.75,63,F,20,20.6
5392,1.71,65.1,F,21,22.3
5393,1.68,66.3,M,19,23.5
5394,1.75,70,F,23,23
5395,1.69,56,F,18,19.6
5396,1.7,71.6,F,21,24.7
5397,1.76,71.4,F,30,23
5398,1.71,64.2,F,21,21.9
5399,1.74,73.8,M,20,24.4
5400,1.66,73.2,M,19,26.5
5401,1.74,72.2,F,26,23.7
5402,1.74,74.8,M,23,24.7
5403,1.76,74.3,M,19,24
5404,1.73,71.6,M,25,24
5405,1.65,66.2,M,32,24.3
5406,1.68,58.6,F,23,20.8
5407,1.69,68.3,F,21,23.8
5408,1.72,74,M,22,25
5409,1.76,68.1,F,19,22
5410,1.74,66,F,25,21.7
5411,1.71,69,M,18,23.6
5412,1.76,78.6,F,23,25.5
5413,1.76,68.5,M,20,22.1
5414,1.74,74.5,M,19,24.5
5415,1.68,64.8,F,22,22.9
5416,1.87,79,M,19,22.6
5417,1.72,70.5,M,23,23.9
5418,1.74,67.2,F,27,22.2
5419,1.77,69.7,M,18,22.2
5420,1.74,71.5,F,24,23.5
5421,1.76,67.5,M,33,21.9
5422,1.69,67.4,M,24,23.8
5423,1.73,72.6,M,19,24.2
5424,1.75,65.8,F,19,21.5
5425,1.76,73.5,M,27,23.8
5426,1.74,70.4,F,21,23.2
5427,1.72,69,F,20,23.4
5428,1.68,66.1,M,23,23.3
5429,1.81,65.6,F,28,20
5430,1.71,62.9,F,27,21.6
5431,1.68,66.1,M,25,23.5
5432,1.68,67.5,F,20,23.8
5433,1.76,75.3,M,19,24.3
5434,1.76,78,F,28,25.3
5435,1.7,70,F,20,24.1
5436,1.73,68.8,M,22,23
5437,1.71,69.1,F,26,23.5
5438,1.64,61.9,F,23,23
5439,1.76,72.6,F,23,23.6
5440,1.63,61.6,F,33,23
5441,1.65,59.8,F,22,21.9
5442,1.75,65.9,F,23,21.5
5443,1.82,74.3,F,18,22.3
5444,1.73,61,F,23,20.3
5445,1.76,65.7,F,25,21.1
5446,1.67,71.1,M,19,25.4
5447,1.75,68.5,F,21,22.4
5448,1.71,65.1,F,20,22.1
5449,1.84,68.5,F,25,20.3
5450,1.78,65.6,F,24,20.7
5451,1.72,70,F,30,23.8
5452,1.72,73.1,M,22,24.7
5453,1.74,74.3,M,19,24.6
5454,1.81,71.7,F,30,21.8
5455,1.79,73.6,F,21,23
5456,1.73,68,F,21,22.6
5457,1.68,64.8,F,20,23
5458,1.74,57.2,F,19,18.8
5459,1.68,60.5,F,24,21.5
5460,1.7,66,M,18,22.8
5461,1.7,62.6,F,19,21.8
5462,1.73,69.7,M,24,23.3
5463,1.68,68.4,M,18,24.4
5464,1.73,73.7,F,28,24.7
5465,1.72,68.9,M,30,23.2
5466,1.69,65.6,F,25,22.9
5467,1.73,68.1,M,18,22.9
5468,1.78,71,F,19,22.5
5469,1.7,61.3,F,20,21.3
5470,1.85,76.1,M,23,22.2
5471,1.73,77.4,M,19,25.9
5472,1.63,57.7,F,21,21.8
5473,1.69,72.8,M,23,25.5
5474,1.71,68.5,M,21,23.5
5475,1.71,67.5,F,19,23.2
5476,1.75,70.3,M,21,23.1
5477,1.72,68.8,F,25,23.2
5478,1.74,68.5,F,25,22.6
5479,1.71,73.2,M,21,25.2
5480,1.72,64.1,F,24,21.6
5481,1.71,65.9,M,21,22.4
5482,1.72,63.8,F,20,21.6
5483,1.71,66.1,F,21,22.7
5484,1.7,74.9,F,30,25.8
5485,1.72,71.1,F,23,24.1
5486,1.71,65.7,F,20,22.5
5487,1.67,69,F,30,24.6
5488,1.75,70.1,F,22,22.9
5489,1.75,68,M,20,22.2
5490,1.69,69.9,M,26,24.5
5491,1.73,63.9,F,18,21.4
5492,1.7,70.6,M,21,24.3
5493,1.74,74.8,F,21,24.7
5494,1.81,73.3,F,20,22.4
5495,1.7,58.4,F,19,20.2
5496,1.73,71.1,F,22,23.7
5497,1.74,67.8,F,21,22.5
5498,1.77,67.6,F,20,21.7
5499,1.79,69.7,F,28,21.8
5500,1.7,63,F,22,21.7
5501,1.76,77.3,M,24,24.8
5502,1.68,65.2,F,19,23.2
5503,1.61,60.9,F,25,23.4
5504,1.71,72.9,F,23,24.9
5505,1.72,69,F,20,23.3
5506,1.74,74.3,M,19,24.5
5507,1.71,70,M,19,23.9
5508,1.82,76.9,F,21,23.1
5509,1.72,70.1,M,19,23.6
5510,1.74,71.1,M,24,23.6
5511,1.65,69.8,M,27,25.7
5512,1.68,72,M,21,25.4
5513,1.76,73.3,M,25,23.6
5514,1.76,74.7,F,20,24.1
5515,1.72,69.1,F,21,23.3
5516,1.8,70.2,M,21,21.7
5517,1.7,61.4,F,26,21.3
5518,1.63,61.6,M,18,23.3
5519,1.72,59.9,M,20,20.3
5520,1.72,73,F,25,24.6
5521,1.67,64.5,F,20,23.1
5522,1.78,74.8,F,20,23.7
5523,1.7,73.5,F,26,25.4
5524,1.79,82.1,M,25,25.5
5525,1.74,63.2,M,23,21
5526,1.77,73,F,22,23.4
5527,1.66,66.7,F,19,24.2
5528,1.75,79.7,M,20,26
5529,1.75,58.4,F,19,19.1
5530,1.7,65.1,F,27,22.5
5531,1.72,64.8,F,20,22
5532,1.74,61.5,F,21,20.3
5533,1.67,71.3,M,24,25.5
5534,1.71,63.9,M,25,21.9
5535,1.67,71.6,F,19,25.6
5536,1.74,66.3,F,21,22
5537,1.67,63.8,M,26,22.9
